"MassTagID","Project_A_X_1","Project_A_X_2","Project_A_X_3","Project_B_X_1","Project_B_X_2","Project_B_X_3","Project_C_X_1","Project_C_X_2","Project_C_X_3","Project_A_Y_1","Project_A_Y_2","Project_A_Y_3","Project_B_Y_1","Project_B_Y_2","Project_B_Y_3","Project_C_Y_1","Project_C_Y_2","Project_C_Y_3"
320080583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4649864,4070244,3900501.5
320080591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1660261,3532175.5,1107141,16248712.5,12640683,16620453.5
320416223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,650343,601589,824354,3983542,4194948,3771899
320416779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1537652,NA,8809542,10306183,9076791
323351862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
323459864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2692028,1960982,2032174
323462620,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3191728,5259548,2917491
335766014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,374625.5,2374347,2421354,2325183.5
335780624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4605218,NA,3805485.5
335783141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2258986,2337490,4187864
335792565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,496354
335796643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,864232,NA,927508
335810179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2880104,4527751,4216256
335976025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2790523,1011959
391596038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2757726,3373377,2870676.5,17542892,20587243,27991065.5
484430641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1201123,466321,8611122,5870468,12918391.5
484430663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1517382,NA,NA,13103249,20849872,21205067
484430684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2321127,1548193.5,10408314,9792258,14530515
